Modellname;C6MDNP;C6ARTP;C6ARB1;C6ARB2;C6VABZ;C6SVK3;C6SVT3
Zubehör;ZB99;76401;Schubkasteneinsatz m. Softeinzug;Sockelbreite 91;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76403;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76405;Schubkasteneinsatz m. Softeinzug;Sockelbreite 97;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76407;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;2 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;76409;Schubkasteneinsatz m. Softeinzug;Sockelbreite 110;3 Schubkasten u. Fachboden oben;1951;ZUBEHÖR: 99
Zubehör;ZB99;84827;Fachboden, 1er Set;Sockelbreite 54;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84828;Fachboden, 2er Set;Sockelbreite 54;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84829;Schuhfächer ,4er Set;Sockelbreite 54;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84830;Fachboden, 1er Set;Sockelbreite 81;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84831;Fachboden, 2er Set;Sockelbreite 81;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84832;Schuhfächer ,4er Set;Sockelbreite 81;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
Zubehör;ZB99;84833;Fachboden, 1er Set;Sockelbreite 91;für Schränke in Kurztiefe;1951;ZUBEHÖR: 99
